Numero de documentos (tweets) del corpus: 15398
Número de palabras del corpus: 272513
Palabra: a Freq: 531 LogProb: -6.268910795980023
Palabra: aaa Freq: 5 LogProb: -10.934234904787862
Palabra: aapl Freq: 4 LogProb: -11.157378456102071
Palabra: aaron Freq: 2 LogProb: -11.850525636662017
Palabra: ab Freq: 9 LogProb: -10.346448239885742
Palabra: abandon Freq: 12 LogProb: -10.058766167433962
Palabra: abate Freq: 4 LogProb: -11.157378456102071
Palabra: abc Freq: 11 LogProb: -10.145777544423591
Palabra: abdul Freq: 2 LogProb: -11.850525636662017
Palabra: abeg Freq: 4 LogProb: -11.157378456102071
Palabra: abide Freq: 5 LogProb: -10.934234904787862
Palabra: ability Freq: 13 LogProb: -9.978723459760426
Palabra: able Freq: 145 LogProb: -7.566939074801388
Palabra: abnormal Freq: 1 LogProb: -12.543672817221962
Palabra: about Freq: 41 LogProb: -8.830100750517655
Palabra: abroad Freq: 7 LogProb: -10.597762668166649
Palabra: abrupt Freq: 4 LogProb: -11.157378456102071
Palabra: absence Freq: 6 LogProb: -10.751913347993908
Palabra: absent Freq: 6 LogProb: -10.751913347993908
Palabra: absolute Freq: 34 LogProb: -9.017312292605801
Palabra: absolutely Freq: 78 LogProb: -8.18696399053237
Palabra: absorb Freq: 5 LogProb: -10.934234904787862
Palabra: absurd Freq: 12 LogProb: -10.058766167433962
Palabra: abt Freq: 8 LogProb: -10.464231275542126
Palabra: abuja Freq: 6 LogProb: -10.751913347993908
Palabra: abundance Freq: 3 LogProb: -11.445060528553853
Palabra: abundant Freq: 1 LogProb: -12.543672817221962
Palabra: abuse Freq: 58 LogProb: -8.483229806675542
Palabra: abused Freq: 4 LogProb: -11.157378456102071
Palabra: abusive Freq: 7 LogProb: -10.597762668166649
Palabra: ac Freq: 4 LogProb: -11.157378456102071
Palabra: aca Freq: 4 LogProb: -11.157378456102071
Palabra: academic Freq: 2 LogProb: -11.850525636662017
Palabra: academy Freq: 1 LogProb: -12.543672817221962
Palabra: acc Freq: 1 LogProb: -12.543672817221962
Palabra: accc Freq: 6 LogProb: -10.751913347993908
Palabra: accelerate Freq: 25 LogProb: -9.324796992353761
Palabra: accept Freq: 22 LogProb: -9.452630363863646
Palabra: acceptable Freq: 4 LogProb: -11.157378456102071
Palabra: acceptance Freq: 1 LogProb: -12.543672817221962
Palabra: access Freq: 124 LogProb: -7.723391251616925
Palabra: accessibility Freq: 4 LogProb: -11.157378456102071
Palabra: accessible Freq: 6 LogProb: -10.751913347993908
Palabra: accessory Freq: 3 LogProb: -11.445060528553853
Palabra: accident Freq: 6 LogProb: -10.751913347993908
Palabra: accidental Freq: 7 LogProb: -10.597762668166649
Palabra: accidentally Freq: 5 LogProb: -10.934234904787862
Palabra: accommodate Freq: 3 LogProb: -11.445060528553853
Palabra: accommodation Freq: 9 LogProb: -10.346448239885742
Palabra: accompany Freq: 5 LogProb: -10.934234904787862
Palabra: accord Freq: 72 LogProb: -8.267006698205906
Palabra: accordingly Freq: 4 LogProb: -11.157378456102071
Palabra: account Freq: 56 LogProb: -8.518321126486812
Palabra: accountability Freq: 4 LogProb: -11.157378456102071
Palabra: accountable Freq: 5 LogProb: -10.934234904787862
Palabra: accumulate Freq: 4 LogProb: -11.157378456102071
Palabra: accuracy Freq: 2 LogProb: -11.850525636662017
Palabra: accurate Freq: 9 LogProb: -10.346448239885742
Palabra: accusation Freq: 6 LogProb: -10.751913347993908
Palabra: accuse Freq: 31 LogProb: -9.109685612736817
Palabra: ache Freq: 4 LogProb: -11.157378456102071
Palabra: achieve Freq: 12 LogProb: -10.058766167433962
Palabra: acid Freq: 4 LogProb: -11.157378456102071
Palabra: acknowledge Freq: 9 LogProb: -10.346448239885742
Palabra: acme Freq: 4 LogProb: -11.157378456102071
Palabra: acquire Freq: 7 LogProb: -10.597762668166649
Palabra: acquisition Freq: 2 LogProb: -11.850525636662017
Palabra: across Freq: 215 LogProb: -7.1730347890943
Palabra: act Freq: 121 LogProb: -7.747882271625221
Palabra: acting Freq: 5 LogProb: -10.934234904787862
Palabra: action Freq: 111 LogProb: -7.834142615909628
Palabra: activate Freq: 4 LogProb: -11.157378456102071
Palabra: active Freq: 4 LogProb: -11.157378456102071
Palabra: actively Freq: 10 LogProb: -10.241087724227917
Palabra: activist Freq: 7 LogProb: -10.597762668166649
Palabra: activity Freq: 65 LogProb: -8.369285547326324
Palabra: actor Freq: 13 LogProb: -9.978723459760426
Palabra: actress Freq: 1 LogProb: -12.543672817221962
Palabra: actual Freq: 35 LogProb: -8.988324755732549
Palabra: actually Freq: 115 LogProb: -7.798740688858712
Palabra: acute Freq: 8 LogProb: -10.464231275542126
Palabra: ad Freq: 53 LogProb: -8.57338090366984
Palabra: adaa Freq: 3 LogProb: -11.445060528553853
Palabra: adam Freq: 2 LogProb: -11.850525636662017
Palabra: adapt Freq: 27 LogProb: -9.247835951217633
Palabra: adaptation Freq: 1 LogProb: -12.543672817221962
Palabra: add Freq: 93 LogProb: -8.011073324068706
Palabra: added Freq: 5 LogProb: -10.934234904787862
Palabra: addict Freq: 3 LogProb: -11.445060528553853
Palabra: addiction Freq: 8 LogProb: -10.464231275542126
Palabra: addition Freq: 15 LogProb: -9.835622616119752
Palabra: additional Freq: 37 LogProb: -8.932754904577738
Palabra: additionally Freq: 2 LogProb: -11.850525636662017
Palabra: additive Freq: 4 LogProb: -11.157378456102071
Palabra: address Freq: 49 LogProb: -8.651852519111335
Palabra: adelaide Freq: 3 LogProb: -11.445060528553853
Palabra: adequate Freq: 6 LogProb: -10.751913347993908
Palabra: adequately Freq: 4 LogProb: -11.157378456102071
Palabra: adhere Freq: 10 LogProb: -10.241087724227917
Palabra: adjust Freq: 21 LogProb: -9.49915037949854
Palabra: adjustment Freq: 4 LogProb: -11.157378456102071
Palabra: admin Freq: 4 LogProb: -11.157378456102071
Palabra: administer Freq: 3 LogProb: -11.445060528553853
Palabra: administration Freq: 29 LogProb: -9.176376987235487
Palabra: administrative Freq: 4 LogProb: -11.157378456102071
Palabra: administrator Freq: 4 LogProb: -11.157378456102071
Palabra: admirable Freq: 1 LogProb: -12.543672817221962
Palabra: admiration Freq: 2 LogProb: -11.850525636662017
Palabra: admire Freq: 1 LogProb: -12.543672817221962
Palabra: admit Freq: 10 LogProb: -10.241087724227917
Palabra: adopt Freq: 8 LogProb: -10.464231275542126
Palabra: adoption Freq: 6 LogProb: -10.751913347993908
Palabra: adoting Freq: 8 LogProb: -10.464231275542126
Palabra: adult Freq: 31 LogProb: -9.109685612736817
Palabra: advance Freq: 12 LogProb: -10.058766167433962
Palabra: advanced Freq: 2 LogProb: -11.850525636662017
Palabra: advantage Freq: 127 LogProb: -7.699485730763371
Palabra: advent Freq: 3 LogProb: -11.445060528553853
Palabra: adventure Freq: 3 LogProb: -11.445060528553853
Palabra: adverse Freq: 5 LogProb: -10.934234904787862
Palabra: adversely Freq: 6 LogProb: -10.751913347993908
Palabra: adversity Freq: 3 LogProb: -11.445060528553853
Palabra: advert Freq: 4 LogProb: -11.157378456102071
Palabra: advertise Freq: 12 LogProb: -10.058766167433962
Palabra: advertisement Freq: 3 LogProb: -11.445060528553853
Palabra: advertiser Freq: 2 LogProb: -11.850525636662017
Palabra: advertising Freq: 21 LogProb: -9.49915037949854
Palabra: advice Freq: 87 LogProb: -8.077764698567378
Palabra: advisable Freq: 3 LogProb: -11.445060528553853
Palabra: advise Freq: 42 LogProb: -8.806003198938594
Palabra: adviser Freq: 2 LogProb: -11.850525636662017
Palabra: advisor Freq: 4 LogProb: -11.157378456102071
Palabra: advisory Freq: 7 LogProb: -10.597762668166649
Palabra: advocacy Freq: 3 LogProb: -11.445060528553853
Palabra: advocate Freq: 15 LogProb: -9.835622616119752
Palabra: aerosol Freq: 6 LogProb: -10.751913347993908
Palabra: af Freq: 8 LogProb: -10.464231275542126
Palabra: afar Freq: 3 LogProb: -11.445060528553853
Palabra: affair Freq: 37 LogProb: -8.932754904577738
Palabra: affect Freq: 211 LogProb: -7.191814683745895
Palabra: affected Freq: 23 LogProb: -9.408178601292812
Palabra: affiliate Freq: 3 LogProb: -11.445060528553853
Palabra: afford Freq: 91 LogProb: -8.032813310705112
Palabra: affordable Freq: 22 LogProb: -9.452630363863646
Palabra: afghanistan Freq: 4 LogProb: -11.157378456102071
Palabra: afloat Freq: 8 LogProb: -10.464231275542126
Palabra: afp Freq: 4 LogProb: -11.157378456102071
Palabra: afraid Freq: 24 LogProb: -9.365618986874017
Palabra: africa Freq: 33 LogProb: -9.047165255755482
Palabra: african Freq: 24 LogProb: -9.365618986874017
Palabra: after Freq: 101 LogProb: -7.928552300380702
Palabra: afterlife Freq: 3 LogProb: -11.445060528553853
Palabra: aftermath Freq: 12 LogProb: -10.058766167433962
Palabra: afternoon Freq: 25 LogProb: -9.324796992353761
Palabra: afterwards Freq: 3 LogProb: -11.445060528553853
Palabra: ag Freq: 30 LogProb: -9.142475435559806
Palabra: agai Freq: 3 LogProb: -11.445060528553853
Palabra: again Freq: 13 LogProb: -9.978723459760426
Palabra: against Freq: 9 LogProb: -10.346448239885742
Palabra: age Freq: 44 LogProb: -8.7594831833037
Palabra: agency Freq: 35 LogProb: -8.988324755732549
Palabra: agenda Freq: 6 LogProb: -10.751913347993908
Palabra: agent Freq: 16 LogProb: -9.77108409498218
Palabra: aggregate Freq: 2 LogProb: -11.850525636662017
Palabra: aggressive Freq: 13 LogProb: -9.978723459760426
Palabra: aggressively Freq: 7 LogProb: -10.597762668166649
Palabra: ago Freq: 81 LogProb: -8.149223662549524
Palabra: agree Freq: 67 LogProb: -8.338980197830995
Palabra: agreed Freq: 2 LogProb: -11.850525636662017
Palabra: agreement Freq: 10 LogProb: -10.241087724227917
Palabra: agri Freq: 6 LogProb: -10.751913347993908
Palabra: agric Freq: 2 LogProb: -11.850525636662017
Palabra: agricultural Freq: 24 LogProb: -9.365618986874017
Palabra: agriculture Freq: 38 LogProb: -8.906086657495576
Palabra: agrisa Freq: 6 LogProb: -10.751913347993908
Palabra: ah Freq: 5 LogProb: -10.934234904787862
Palabra: ahead Freq: 55 LogProb: -8.536339631989492
Palabra: ahmed Freq: 5 LogProb: -10.934234904787862
Palabra: ai Freq: 4 LogProb: -11.157378456102071
Palabra: aid Freq: 39 LogProb: -8.880111171092315
Palabra: aide Freq: 4 LogProb: -11.157378456102071
Palabra: aim Freq: 21 LogProb: -9.49915037949854
Palabra: air Freq: 44 LogProb: -8.7594831833037
Palabra: airborne Freq: 6 LogProb: -10.751913347993908
Palabra: airfare Freq: 4 LogProb: -11.157378456102071
Palabra: airline Freq: 34 LogProb: -9.017312292605801
Palabra: airplane Freq: 2 LogProb: -11.850525636662017
Palabra: airport Freq: 11 LogProb: -10.145777544423591
Palabra: aisle Freq: 105 LogProb: -7.889712467064439
Palabra: aisles Freq: 6 LogProb: -10.751913347993908
Palabra: aka Freq: 7 LogProb: -10.597762668166649
Palabra: al Freq: 15 LogProb: -9.835622616119752
Palabra: alabama Freq: 1 LogProb: -12.543672817221962
Palabra: alan Freq: 1 LogProb: -12.543672817221962
Palabra: alarm Freq: 16 LogProb: -9.77108409498218
Palabra: alaska Freq: 7 LogProb: -10.597762668166649
Palabra: albert Freq: 3 LogProb: -11.445060528553853
Palabra: alberta Freq: 20 LogProb: -9.547940543667972
Palabra: albertans Freq: 5 LogProb: -10.934234904787862
Palabra: albertsons Freq: 4 LogProb: -11.157378456102071
Palabra: alcohol Freq: 69 LogProb: -8.309566312624703
Palabra: alcoholic Freq: 3 LogProb: -11.445060528553853
Palabra: aldi Freq: 13 LogProb: -9.978723459760426
Palabra: alert Freq: 70 LogProb: -8.295177575172604
Palabra: alex Freq: 5 LogProb: -10.934234904787862
Palabra: algeria Freq: 4 LogProb: -11.157378456102071
Palabra: algorithm Freq: 3 LogProb: -11.445060528553853
Palabra: ali Freq: 2 LogProb: -11.850525636662017
Palabra: alibaba Freq: 1 LogProb: -12.543672817221962
Palabra: alien Freq: 7 LogProb: -10.597762668166649
Palabra: align Freq: 2 LogProb: -11.850525636662017
Palabra: alike Freq: 7 LogProb: -10.597762668166649
Palabra: alive Freq: 16 LogProb: -9.77108409498218
Palabra: all Freq: 227 LogProb: -7.118722799740559
Palabra: allah Freq: 11 LogProb: -10.145777544423591
