Numero de documentos (tweets) del corpus: 18046
Número de palabras del corpus: 320685
Palabra: a Freq: 681 LogProb: -6.1788180869217175
Palabra: aaa Freq: 1 LogProb: -12.70238039307123
Palabra: aapl Freq: 2 LogProb: -12.009233212511285
Palabra: aaron Freq: 6 LogProb: -10.910620923843174
Palabra: ab Freq: 3 LogProb: -11.60376810440312
Palabra: abandon Freq: 2 LogProb: -12.009233212511285
Palabra: abate Freq: 2 LogProb: -12.009233212511285
Palabra: abc Freq: 5 LogProb: -11.092942480637129
Palabra: abdul Freq: 4 LogProb: -11.31608603195134
Palabra: abeg Freq: 2 LogProb: -12.009233212511285
Palabra: abide Freq: 7 LogProb: -10.756470244015917
Palabra: ability Freq: 37 LogProb: -9.091462480427005
Palabra: able Freq: 214 LogProb: -7.336404378049378
Palabra: abnormal Freq: 5 LogProb: -11.092942480637129
Palabra: about Freq: 21 LogProb: -9.657857955347806
Palabra: abroad Freq: 6 LogProb: -10.910620923843174
Palabra: abrupt Freq: 3 LogProb: -11.60376810440312
Palabra: absence Freq: 5 LogProb: -11.092942480637129
Palabra: absent Freq: 2 LogProb: -12.009233212511285
Palabra: absolute Freq: 25 LogProb: -9.48350456820303
Palabra: absolutely Freq: 42 LogProb: -8.96471077478786
Palabra: absorb Freq: 3 LogProb: -11.60376810440312
Palabra: absurd Freq: 5 LogProb: -11.092942480637129
Palabra: abt Freq: 11 LogProb: -10.30448512027286
Palabra: abuja Freq: 6 LogProb: -10.910620923843174
Palabra: abundance Freq: 5 LogProb: -11.092942480637129
Palabra: abundant Freq: 6 LogProb: -10.910620923843174
Palabra: abuse Freq: 13 LogProb: -10.137431035609692
Palabra: abused Freq: 3 LogProb: -11.60376810440312
Palabra: abusive Freq: 2 LogProb: -12.009233212511285
Palabra: ac Freq: 3 LogProb: -11.60376810440312
Palabra: aca Freq: 3 LogProb: -11.60376810440312
Palabra: academic Freq: 9 LogProb: -10.50515581573501
Palabra: academy Freq: 6 LogProb: -10.910620923843174
Palabra: acc Freq: 6 LogProb: -10.910620923843174
Palabra: accc Freq: 4 LogProb: -11.31608603195134
Palabra: accelerate Freq: 28 LogProb: -9.370175882896026
Palabra: accept Freq: 56 LogProb: -8.67702870233608
Palabra: acceptable Freq: 13 LogProb: -10.137431035609692
Palabra: acceptance Freq: 9 LogProb: -10.50515581573501
Palabra: access Freq: 184 LogProb: -7.487444635462245
Palabra: accessibility Freq: 2 LogProb: -12.009233212511285
Palabra: accessible Freq: 13 LogProb: -10.137431035609692
Palabra: accessory Freq: 9 LogProb: -10.50515581573501
Palabra: accident Freq: 3 LogProb: -11.60376810440312
Palabra: accidental Freq: 3 LogProb: -11.60376810440312
Palabra: accidentally Freq: 2 LogProb: -12.009233212511285
Palabra: accommodate Freq: 8 LogProb: -10.622938851391394
Palabra: accommodation Freq: 7 LogProb: -10.756470244015917
Palabra: accompany Freq: 5 LogProb: -11.092942480637129
Palabra: accord Freq: 83 LogProb: -8.283539785274632
Palabra: accordingly Freq: 5 LogProb: -11.092942480637129
Palabra: account Freq: 70 LogProb: -8.45388515102187
Palabra: accountability Freq: 6 LogProb: -10.910620923843174
Palabra: accountable Freq: 2 LogProb: -12.009233212511285
Palabra: accumulate Freq: 2 LogProb: -12.009233212511285
Palabra: accuracy Freq: 5 LogProb: -11.092942480637129
Palabra: accurate Freq: 11 LogProb: -10.30448512027286
Palabra: accusation Freq: 1 LogProb: -12.70238039307123
Palabra: accuse Freq: 3 LogProb: -11.60376810440312
Palabra: aceng Freq: 2 LogProb: -12.009233212511285
Palabra: ache Freq: 2 LogProb: -12.009233212511285
Palabra: achieve Freq: 14 LogProb: -10.063323063455972
Palabra: acid Freq: 3 LogProb: -11.60376810440312
Palabra: acknowledge Freq: 7 LogProb: -10.756470244015917
Palabra: acme Freq: 2 LogProb: -12.009233212511285
Palabra: acquire Freq: 16 LogProb: -9.929791670831449
Palabra: acquisition Freq: 5 LogProb: -11.092942480637129
Palabra: across Freq: 239 LogProb: -7.225916841139719
Palabra: act Freq: 138 LogProb: -7.775126707914025
Palabra: acting Freq: 1 LogProb: -12.70238039307123
Palabra: action Freq: 126 LogProb: -7.866098486119752
Palabra: activate Freq: 7 LogProb: -10.756470244015917
Palabra: active Freq: 29 LogProb: -9.335084563084756
Palabra: actively Freq: 18 LogProb: -9.812008635175065
Palabra: activist Freq: 4 LogProb: -11.31608603195134
Palabra: activity Freq: 68 LogProb: -8.482872687895123
Palabra: actor Freq: 23 LogProb: -9.56688617714208
Palabra: actress Freq: 9 LogProb: -10.50515581573501
Palabra: actual Freq: 23 LogProb: -9.56688617714208
Palabra: actually Freq: 104 LogProb: -8.057989493929858
Palabra: acute Freq: 2 LogProb: -12.009233212511285
Palabra: ad Freq: 41 LogProb: -8.988808326366922
Palabra: adaa Freq: 3 LogProb: -11.60376810440312
Palabra: adam Freq: 10 LogProb: -10.399795300077184
Palabra: adapt Freq: 52 LogProb: -8.751136674489802
Palabra: adaptation Freq: 7 LogProb: -10.756470244015917
Palabra: add Freq: 123 LogProb: -7.8901960376988125
Palabra: added Freq: 7 LogProb: -10.756470244015917
Palabra: addict Freq: 3 LogProb: -11.60376810440312
Palabra: addiction Freq: 7 LogProb: -10.756470244015917
Palabra: addition Freq: 25 LogProb: -9.48350456820303
Palabra: additional Freq: 47 LogProb: -8.852232791361171
Palabra: additionally Freq: 5 LogProb: -11.092942480637129
Palabra: additive Freq: 5 LogProb: -11.092942480637129
Palabra: address Freq: 59 LogProb: -8.62484294916551
Palabra: adelaide Freq: 4 LogProb: -11.31608603195134
Palabra: adequate Freq: 26 LogProb: -9.444283855049747
Palabra: adequately Freq: 5 LogProb: -11.092942480637129
Palabra: adhere Freq: 22 LogProb: -9.611337939712914
Palabra: adjust Freq: 51 LogProb: -8.770554760346904
Palabra: adjustment Freq: 5 LogProb: -11.092942480637129
Palabra: admin Freq: 11 LogProb: -10.30448512027286
Palabra: administer Freq: 4 LogProb: -11.31608603195134
Palabra: administration Freq: 28 LogProb: -9.370175882896026
Palabra: administrative Freq: 4 LogProb: -11.31608603195134
Palabra: administrator Freq: 3 LogProb: -11.60376810440312
Palabra: admirable Freq: 5 LogProb: -11.092942480637129
Palabra: admiration Freq: 5 LogProb: -11.092942480637129
Palabra: admire Freq: 5 LogProb: -11.092942480637129
Palabra: admit Freq: 15 LogProb: -9.99433019196902
Palabra: adopt Freq: 11 LogProb: -10.30448512027286
Palabra: adoption Freq: 7 LogProb: -10.756470244015917
Palabra: adoting Freq: 1 LogProb: -12.70238039307123
Palabra: adult Freq: 34 LogProb: -9.176019868455068
Palabra: advance Freq: 15 LogProb: -9.99433019196902
Palabra: advanced Freq: 11 LogProb: -10.30448512027286
Palabra: advantage Freq: 137 LogProb: -7.7823994672431045
Palabra: advent Freq: 3 LogProb: -11.60376810440312
Palabra: adventure Freq: 16 LogProb: -9.929791670831449
Palabra: adverse Freq: 3 LogProb: -11.60376810440312
Palabra: adversely Freq: 1 LogProb: -12.70238039307123
Palabra: adversity Freq: 9 LogProb: -10.50515581573501
Palabra: advert Freq: 4 LogProb: -11.31608603195134
Palabra: advertise Freq: 11 LogProb: -10.30448512027286
Palabra: advertisement Freq: 3 LogProb: -11.60376810440312
Palabra: advertiser Freq: 6 LogProb: -10.910620923843174
Palabra: advertising Freq: 19 LogProb: -9.75794141390479
Palabra: advice Freq: 136 LogProb: -7.789725507335178
Palabra: advisable Freq: 3 LogProb: -11.60376810440312
Palabra: advise Freq: 33 LogProb: -9.205872831604749
Palabra: adviser Freq: 8 LogProb: -10.622938851391394
Palabra: advisor Freq: 12 LogProb: -10.217473743283229
Palabra: advisory Freq: 14 LogProb: -10.063323063455972
Palabra: advocacy Freq: 6 LogProb: -10.910620923843174
Palabra: advocate Freq: 24 LogProb: -9.524326562723283
Palabra: aerosol Freq: 7 LogProb: -10.756470244015917
Palabra: af Freq: 6 LogProb: -10.910620923843174
Palabra: afar Freq: 4 LogProb: -11.31608603195134
Palabra: affair Freq: 45 LogProb: -8.89571790330091
Palabra: affect Freq: 189 LogProb: -7.460633378011587
Palabra: affected Freq: 13 LogProb: -10.137431035609692
Palabra: affiliate Freq: 8 LogProb: -10.622938851391394
Palabra: afford Freq: 76 LogProb: -8.3716470527849
Palabra: affordable Freq: 57 LogProb: -8.65932912523668
Palabra: afghanistan Freq: 2 LogProb: -12.009233212511285
Palabra: afloat Freq: 8 LogProb: -10.622938851391394
Palabra: afp Freq: 2 LogProb: -12.009233212511285
Palabra: afraid Freq: 26 LogProb: -9.444283855049747
Palabra: africa Freq: 33 LogProb: -9.205872831604749
Palabra: african Freq: 17 LogProb: -9.869167049015013
Palabra: after Freq: 95 LogProb: -8.148503501470689
Palabra: afterlife Freq: 3 LogProb: -11.60376810440312
Palabra: aftermath Freq: 6 LogProb: -10.910620923843174
Palabra: afternoon Freq: 19 LogProb: -9.75794141390479
Palabra: afterwards Freq: 7 LogProb: -10.756470244015917
Palabra: ag Freq: 29 LogProb: -9.335084563084756
Palabra: agai Freq: 3 LogProb: -11.60376810440312
Palabra: again Freq: 15 LogProb: -9.99433019196902
Palabra: against Freq: 19 LogProb: -9.75794141390479
Palabra: age Freq: 74 LogProb: -8.39831529986706
Palabra: agency Freq: 53 LogProb: -8.732088479519108
Palabra: agenda Freq: 3 LogProb: -11.60376810440312
Palabra: agent Freq: 17 LogProb: -9.869167049015013
Palabra: aggregate Freq: 5 LogProb: -11.092942480637129
Palabra: aggressive Freq: 3 LogProb: -11.60376810440312
Palabra: aggressively Freq: 3 LogProb: -11.60376810440312
Palabra: ago Freq: 106 LogProb: -8.038941298959163
Palabra: agree Freq: 108 LogProb: -8.02024916594701
Palabra: agreed Freq: 7 LogProb: -10.756470244015917
Palabra: agreement Freq: 22 LogProb: -9.611337939712914
Palabra: agri Freq: 9 LogProb: -10.50515581573501
Palabra: agric Freq: 5 LogProb: -11.092942480637129
Palabra: agricultural Freq: 18 LogProb: -9.812008635175065
Palabra: agriculture Freq: 27 LogProb: -9.406543527066901
Palabra: agrisa Freq: 1 LogProb: -12.70238039307123
Palabra: ah Freq: 7 LogProb: -10.756470244015917
Palabra: ahead Freq: 48 LogProb: -8.831179382163338
Palabra: ahmed Freq: 4 LogProb: -11.31608603195134
Palabra: ai Freq: 17 LogProb: -9.869167049015013
Palabra: aid Freq: 53 LogProb: -8.732088479519108
Palabra: aide Freq: 5 LogProb: -11.092942480637129
Palabra: aim Freq: 35 LogProb: -9.147032331581816
Palabra: air Freq: 51 LogProb: -8.770554760346904
Palabra: airborne Freq: 10 LogProb: -10.399795300077184
Palabra: airfare Freq: 2 LogProb: -12.009233212511285
Palabra: airline Freq: 57 LogProb: -8.65932912523668
Palabra: airplane Freq: 4 LogProb: -11.31608603195134
Palabra: airport Freq: 24 LogProb: -9.524326562723283
Palabra: airway Freq: 2 LogProb: -12.009233212511285
Palabra: aisle Freq: 99 LogProb: -8.10726054293664
Palabra: aisles Freq: 7 LogProb: -10.756470244015917
Palabra: aka Freq: 12 LogProb: -10.217473743283229
Palabra: al Freq: 17 LogProb: -9.869167049015013
Palabra: alabama Freq: 10 LogProb: -10.399795300077184
Palabra: alan Freq: 6 LogProb: -10.910620923843174
Palabra: alarm Freq: 11 LogProb: -10.30448512027286
Palabra: alaska Freq: 1 LogProb: -12.70238039307123
Palabra: albert Freq: 3 LogProb: -11.60376810440312
Palabra: alberta Freq: 10 LogProb: -10.399795300077184
Palabra: albertans Freq: 1 LogProb: -12.70238039307123
Palabra: albertsons Freq: 6 LogProb: -10.910620923843174
Palabra: alcohol Freq: 204 LogProb: -7.3842603992270135
Palabra: alcoholic Freq: 9 LogProb: -10.50515581573501
Palabra: aldi Freq: 14 LogProb: -10.063323063455972
Palabra: alert Freq: 95 LogProb: -8.148503501470689
Palabra: alex Freq: 7 LogProb: -10.756470244015917
Palabra: algeria Freq: 2 LogProb: -12.009233212511285
Palabra: algorithm Freq: 4 LogProb: -11.31608603195134
Palabra: ali Freq: 4 LogProb: -11.31608603195134
Palabra: alibaba Freq: 5 LogProb: -11.092942480637129
Palabra: alien Freq: 5 LogProb: -11.092942480637129
Palabra: align Freq: 6 LogProb: -10.910620923843174
Palabra: alike Freq: 9 LogProb: -10.50515581573501
Palabra: alive Freq: 37 LogProb: -9.091462480427005
Palabra: all Freq: 328 LogProb: -6.909366784687086
Palabra: allah Freq: 11 LogProb: -10.30448512027286
Palabra: allegation Freq: 2 LogProb: -12.009233212511285
Palabra: allege Freq: 4 LogProb: -11.31608603195134
Palabra: alleged Freq: 1 LogProb: -12.70238039307123
Palabra: allegedly Freq: 7 LogProb: -10.756470244015917
Palabra: allen Freq: 4 LogProb: -11.31608603195134
Palabra: allergy Freq: 7 LogProb: -10.756470244015917
Palabra: alleviate Freq: 10 LogProb: -10.399795300077184
Palabra: alliance Freq: 4 LogProb: -11.31608603195134
Palabra: allocate Freq: 12 LogProb: -10.217473743283229
Palabra: allocation Freq: 3 LogProb: -11.60376810440312
Palabra: allow Freq: 267 LogProb: -7.11513173467098
Palabra: allowance Freq: 3 LogProb: -11.60376810440312
Palabra: allowed Freq: 4 LogProb: -11.31608603195134
Palabra: allstate Freq: 5 LogProb: -11.092942480637129
Palabra: ally Freq: 4 LogProb: -11.31608603195134
Palabra: almond Freq: 6 LogProb: -10.910620923843174
Palabra: almost Freq: 97 LogProb: -8.127669414567848
Palabra: aloe Freq: 17 LogProb: -9.869167049015013
Palabra: alone Freq: 33 LogProb: -9.205872831604749
Palabra: along Freq: 62 LogProb: -8.575246008026138
Palabra: alongside Freq: 9 LogProb: -10.50515581573501
Palabra: alot Freq: 9 LogProb: -10.50515581573501
Palabra: alovera Freq: 5 LogProb: -11.092942480637129
Palabra: alphabet Freq: 3 LogProb: -11.60376810440312
Palabra: already Freq: 203 LogProb: -7.389174414029442
Palabra: alright Freq: 5 LogProb: -11.092942480637129
Palabra: also Freq: 564 LogProb: -6.367326141573171
Palabra: alter Freq: 9 LogProb: -10.50515581573501
Palabra: alternate Freq: 7 LogProb: -10.756470244015917
Palabra: alternative Freq: 32 LogProb: -9.236644490271503
