Numero de documentos (tweets) del corpus: 18046
Número de palabras del corpus: 319857
Palabra: a Freq: 679 LogProb: -6.168183176098734
Palabra: abandon Freq: 2 LogProb: -11.995657123097486
Palabra: abc Freq: 5 LogProb: -11.07936639122333
Palabra: ability Freq: 37 LogProb: -9.077886391013205
Palabra: able Freq: 214 LogProb: -7.322828288635579
Palabra: about Freq: 21 LogProb: -9.644281865934007
Palabra: abroad Freq: 6 LogProb: -10.897044834429375
Palabra: absolute Freq: 25 LogProb: -9.46992847878923
Palabra: absolutely Freq: 42 LogProb: -8.951134685374061
Palabra: absurd Freq: 5 LogProb: -11.07936639122333
Palabra: abt Freq: 11 LogProb: -10.29090903085906
Palabra: abuse Freq: 13 LogProb: -10.123854946195893
Palabra: accelerate Freq: 28 LogProb: -9.356599793482227
Palabra: accept Freq: 56 LogProb: -8.663452612922281
Palabra: acceptable Freq: 13 LogProb: -10.123854946195893
Palabra: access Freq: 183 LogProb: -7.47931815081601
Palabra: accessible Freq: 13 LogProb: -10.123854946195893
Palabra: accommodation Freq: 7 LogProb: -10.742894154602117
Palabra: accord Freq: 83 LogProb: -8.269963695860833
Palabra: account Freq: 70 LogProb: -8.44030906160807
Palabra: accurate Freq: 11 LogProb: -10.29090903085906
Palabra: accuse Freq: 3 LogProb: -11.59019201498932
Palabra: achieve Freq: 14 LogProb: -10.049746974042172
Palabra: acknowledge Freq: 7 LogProb: -10.742894154602117
Palabra: acquire Freq: 16 LogProb: -9.91621558141765
Palabra: across Freq: 239 LogProb: -7.21234075172592
Palabra: act Freq: 138 LogProb: -7.761550618500226
Palabra: action Freq: 123 LogProb: -7.876619948285013
Palabra: active Freq: 29 LogProb: -9.321508473670956
Palabra: actively Freq: 18 LogProb: -9.798432545761266
Palabra: activity Freq: 68 LogProb: -8.469296598481323
Palabra: actor Freq: 23 LogProb: -9.553310087728281
Palabra: actual Freq: 23 LogProb: -9.553310087728281
Palabra: actually Freq: 104 LogProb: -8.044413404516058
Palabra: ad Freq: 41 LogProb: -8.975232236953122
Palabra: adapt Freq: 52 LogProb: -8.737560585076004
Palabra: add Freq: 123 LogProb: -7.876619948285013
Palabra: addiction Freq: 7 LogProb: -10.742894154602117
Palabra: addition Freq: 25 LogProb: -9.46992847878923
Palabra: additional Freq: 47 LogProb: -8.838656701947372
Palabra: address Freq: 59 LogProb: -8.61126685975171
Palabra: adequate Freq: 26 LogProb: -9.430707765635947
Palabra: adhere Freq: 22 LogProb: -9.597761850299115
Palabra: adjust Freq: 51 LogProb: -8.756978670933105
Palabra: admin Freq: 11 LogProb: -10.29090903085906
Palabra: administration Freq: 28 LogProb: -9.356599793482227
Palabra: admit Freq: 15 LogProb: -9.98075410255522
Palabra: adopt Freq: 11 LogProb: -10.29090903085906
Palabra: adoption Freq: 7 LogProb: -10.742894154602117
Palabra: adult Freq: 34 LogProb: -9.162443779041268
Palabra: advance Freq: 15 LogProb: -9.98075410255522
Palabra: advanced Freq: 11 LogProb: -10.29090903085906
Palabra: advantage Freq: 137 LogProb: -7.768823377829306
Palabra: adventure Freq: 16 LogProb: -9.91621558141765
Palabra: advertise Freq: 11 LogProb: -10.29090903085906
